Ticker,Name,,Symbol
WTAN,Witan Investment Trust,.L,WTAN.L
GPOR,Great Portland Estates,.L,GPOR.L
GBG,GB Group,.L,GBG.L
IHP,IntegraFin Holdings,.L,IHP.L
INDV,Indivior,.L,INDV.L
ASCL,Ascential,.L,ASCL.L
PIN,Pantheon International,.L,PIN.L
FXPO,Ferrexpo,.L,FXPO.L
ATG,Auction Technology Group,.L,ATG.L
HTWS,Helios Towers,.L,HTWS.L
PNL,Personal Assets Trust,.L,PNL.L
CTY,City of London Investment Trust,.L,CTY.L
YOU,YouGov,.L,YOU.L
N91,Ninety One,.L,N91.L
BBY,Balfour Beatty,.L,BBY.L
SPT,Spirent Communications,.L,SPT.L
DATA,GlobalData,.L,DATA.L
SRE,Sirius Real Estate Ltd,.L,SRE.L
VVO,Vivo Energy,.L,VVO.L
BUR,Burford Capital Ltd,.L,BUR.L
BOY,Bodycote,.L,BOY.L
SRP,Serco Group,.L,SRP.L
NETW,Network International Holdings,.L,NETW.L
IEM,Impax Environmental Markets,.L,IEM.L
BNKR,Bankers Investment Trust,.L,BNKR.L
VEIL,Vietnam Enterprise Investments Ltd,.L,VEIL.L
BAB,Babcock International Group,.L,BAB.L
HRI,Herald Investment Trust,.L,HRI.L
BREE,Breedon Group,.L,BREE.L
GAMA,Gamma Communications,.L,GAMA.L
CVSG,CVS Group,.L,CVSG.L
FCSS,Fidelity China Special Situations,.L,FCSS.L
NEX,National Express Group,.L,NEX.L
AJB,AJ Bell,.L,AJB.L
BOO,Boohoo Group,.L,BOO.L
TRY,TR Property Investment Trust,.L,TRY.L
ENOG,Energean,.L,ENOG.L
QQ.,QinetiQ Group,.L,QQ..L
RHIM,RHI Magnesita NV,.L,RHIM.L
GROW,Molten Ventures,.L,GROW.L
SONG+SONC,Hipgnosis Songs Fund Ltd,.L,SONG+SONC.L
OXIG,Oxford Instruments,.L,OXIG.L
KAPE,Kape Technologies,.L,KAPE.L
AML,Aston Martin Lagonda Global Holdings,.L,AML.L
ATT,Allianz Technology Trust,.L,ATT.L
JMG,JPMorgan Emerging Markets Inv Trust,.L,JMG.L
MAB,Mitchells & Butlers,.L,MAB.L
JAM,JPMorgan American Investment Trust,.L,JAM.L
WKP,Workspace Group,.L,WKP.L
GEN,Genuit Group,.L,GEN.L
HMSO,Hammerson,.L,HMSO.L
SNN,Sanne Group,.L,SNN.L
MYI,Murray International Trust,.L,MYI.L
CAPC,Capital & Counties Properties,.L,CAPC.L
JUP,Jupiter Fund Management,.L,JUP.L
HILS,Hill & Smith Holdings,.L,HILS.L
SYNC,Syncona Ltd,.L,SYNC.L
PAG,Paragon Banking Group,.L,PAG.L
VCP,Victoria,.L,VCP.L
LTG,Learning Technologies Group,.L,LTG.L
MCRO,Micro Focus International,.L,MCRO.L
FEV,Fidelity European Trust,.L,FEV.L
MSLH,Marshalls,.L,MSLH.L
FDM,FDM Group Holdings,.L,FDM.L
BYIT,Bytes Technology Group,.L,BYIT.L
JTC,JTC,.L,JTC.L
TRST,Trustpilot Group,.L,TRST.L
PLUS,Plus500 Ltd,.L,PLUS.L
SIR,Secure Income REIT,.L,SIR.L
CURY,Currys,.L,CURY.L
TRN,Trainline,.L,TRN.L
AWE,Alphawave IP Group,.L,AWE.L
LIO,Liontrust Asset Management,.L,LIO.L
CHRY,Chrysalis Investment Ltd,.L,CHRY.L
WG.,Wood Group (John),.L,WG..L
JHD,James Halstead,.L,JHD.L
TIFS,TI Fluid Systems,.L,TIFS.L
MOON,Moonpig Group,.L,MOON.L
OTV2,Octopus Titan VCT,.L,OTV2.L
ASL,Aberforth Smaller Companies Trust,.L,ASL.L
IPO,IP Group,.L,IPO.L
LRE,Lancashire Holdings Ltd,.L,LRE.L
GLO,ContourGlobal,.L,GLO.L
TEP,Telecom plus,.L,TEP.L
BBGI,Bilfinger Berger Global Infrastructure SICAV SA,.L,BBGI.L
RAT,Rathbone Brothers,.L,RAT.L
NFC,Next Fifteen Communications Group,.L,NFC.L
CLIN,Clinigen Group,.L,CLIN.L
JDW,Wetherspoon (JD),.L,JDW.L
VSVS,Vesuvius,.L,VSVS.L
TCAP,TP ICAP,.L,TCAP.L
SUPR,Supermarket Income Reit,.L,SUPR.L
EWI,Edinburgh Worldwide Investment Trust,.L,EWI.L
KOS,Kosmos Energy Ltd,.L,KOS.L
CKN,Clarkson,.L,CKN.L
MGNS,Morgan Sindall,.L,MGNS.L
BCG,Baltic Classifieds Group,.L,BCG.L
MONY,Moneysupermarket.com Group,.L,MONY.L
UPR,Uniphar,.L,UPR.L
888,888 Holdings,.L,888.L
BBH,BB Healthcare Trust,.L,BBH.L
SMS,Smart Metering Systems,.L,SMS.L
BRW,Brewin Dolphin Holdings,.L,BRW.L
APAX,APAX Global Alpha Ltd,.L,APAX.L
FAN,Volution Group,.L,FAN.L
AGT,AVI Global Trust,.L,AGT.L
BIFF,Biffa,.L,BIFF.L
EDIN,Edinburgh Investment Trust,.L,EDIN.L
BRWM,BlackRock World Mining Trust,.L,BRWM.L
MUT,Murray Income Trust,.L,MUT.L
REDD,Redde Northgate,.L,REDD.L
BRSC,BlackRock Smaller Companies Trust,.L,BRSC.L
JFJ,JPMorgan Japanese Investment Trust,.L,JFJ.L
OXB,Oxford BioMedica,.L,OXB.L
XPP,XP Power Ltd,.L,XPP.L
LXI,LXI REIT,.L,LXI.L
HFG,Hilton Food Group,.L,HFG.L
MGAM,Morgan Advanced Materials,.L,MGAM.L
CEY,Centamin,.L,CEY.L
TM17,Team17 Group,.L,TM17.L
COA,Coats Group,.L,COA.L
ERM,Euromoney Institutional Investor,.L,ERM.L
BPCP,Biopharma Credit,.L,BPCP.L
SPI,Spire Healthcare Group,.L,SPI.L
ESNT,Essentra,.L,ESNT.L
THRG,Blackrock Throgmorton Trust,.L,THRG.L
LWDB,Law Debenture Corp,.L,LWDB.L
UKCM,UK Commercial Property Trust Ltd,.L,UKCM.L
BHMG,BH Macro Ltd,.L,BHMG.L
DSCV,Discoverie Group,.L,DSCV.L
BGSC,BMO Global Smaller Companies,.L,BGSC.L
DIGS,GCP Student Living,.L,DIGS.L
USA,Baillie Gifford US Growth Trust,.L,USA.L
SDP,Schroder AsiaPacific Fund,.L,SDP.L
GCP,GCP Infrastructure Investments Ltd,.L,GCP.L
FSV,Fidelity Special Values,.L,FSV.L
EBOX,Tritax Eurobox,.L,EBOX.L
CRST,Crest Nicholson Holdings Ltd,.L,CRST.L
PFD,Premier Foods,.L,PFD.L
SAIN,Scottish American Investment Co,.L,SAIN.L
BIG,Big Technologies,.L,BIG.L
SEIT,SDCL Energy Efficiency Income Trust,.L,SEIT.L
BGFD,Baillie Gifford Japan Trust,.L,BGFD.L
CNE,Capricorn Energy,.L,CNE.L
MTO,Mitie Group,.L,MTO.L
HSL,Henderson Smaller Companies Investment Trust,.L,HSL.L
TBCG,TBC Bank Group,.L,TBCG.L
AFX,Alpha FX Group,.L,AFX.L
CCR,C&C Group,.L,CCR.L
PFG,Provident Financial,.L,PFG.L
CLI,CLS Holdings,.L,CLI.L
DEC,Diversified Energy Company,.L,DEC.L
,FTSE 250 automatic entry position,.L,.L
EOT,European Opportunities Trust,.L,EOT.L
SHED,Urban Logistics REIT,.L,SHED.L
DEVO,Devolver Digital Inc,.L,DEVO.L
SUMO,Sumo Group,.L,SUMO.L
SLPE,Standard Life Private Equity Trust,.L,SLPE.L
ICGT,ICG Enterprise Trust,.L,ICGT.L
PZC,PZ Cussons,.L,PZC.L
JEDT,JPMorgan European Discovery Trust,.L,JEDT.L
NBPE,NB Private Equity Partners Ltd,.L,NBPE.L
RCH,Reach,.L,RCH.L
TUNE,Focusrite,.L,TUNE.L
PRTC,Puretech Health,.L,PRTC.L
VOF,VinaCapital Vietnam Opportunity Fund Ltd,.L,VOF.L
EMIS,EMIS Group,.L,EMIS.L
CGT,Capital Gearing Trust,.L,CGT.L
CRW,Craneware,.L,CRW.L
JUST,Just Group,.L,JUST.L
MRL,Marlowe,.L,MRL.L
JPE,JPMorgan Elect,.L,JPE.L
CHG,Chemring Group,.L,CHG.L
TRMR,Tremor International Ltd,.L,TRMR.L
DGI9,Digital 9 Infrastructure,.L,DGI9.L
IBST,Ibstock,.L,IBST.L
PEYS,Princess Private Equity Holding Ltd,.L,PEYS.L
IDEA,Ideagen,.L,IDEA.L
TYMN,Tyman,.L,TYMN.L
BCPT,BMO Commercial Property Trust Ltd,.L,BCPT.L
PHI,Pacific Horizon Investment Trust,.L,PHI.L
POLR,Polar Capital Holdings,.L,POLR.L
FOUR,4imprint Group,.L,FOUR.L
MXCN,Maxcyte Inc,.L,MXCN.L
TET,Treatt,.L,TET.L
ELM,Elementis,.L,ELM.L
BGEO,Bank of Georgia Group,.L,BGEO.L
